[2025-03-10T01:38:59.963+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-10T01:39:00.043+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tiki_extract_dag.extract_data manual__2025-03-10T01:38:50.111709+00:00 [queued]>
[2025-03-10T01:39:18.222+0000] {tiki_extract_dag.py:151} INFO - Skipped product 275304727 due to duplicate
[2025-03-10T01:39:18.222+0000] {tiki_extract_dag.py:151} INFO - Skipped product 274948813 due to duplicate
[2025-03-10T01:39:18.223+0000] {tiki_extract_dag.py:151} INFO - Skipped product 274440743 due to duplicate
[2025-03-10T01:39:18.223+0000] {tiki_extract_dag.py:151} INFO - Skipped product 273825294 due to duplicate
[2025-03-10T01:39:18.224+0000] {tiki_extract_dag.py:151} INFO - Skipped product 273250656 due to duplicate
[2025-03-10T01:39:18.224+0000] {tiki_extract_dag.py:151} INFO - Skipped product 273243998 due to duplicate
[2025-03-10T01:39:18.225+0000] {tiki_extract_dag.py:151} INFO - Skipped product 272113564 due to duplicate
[2025-03-10T01:39:18.225+0000] {tiki_extract_dag.py:151} INFO - Skipped product 203110603 due to duplicate
[2025-03-10T01:39:18.226+0000] {tiki_extract_dag.py:151} INFO - Skipped product 201816436 due to duplicate
[2025-03-10T01:39:18.226+0000] {tiki_extract_dag.py:151} INFO - Skipped product 190630654 due to duplicate
[2025-03-10T01:39:18.227+0000] {tiki_extract_dag.py:151} INFO - Skipped product 186633014 due to duplicate
[2025-03-10T01:39:18.227+0000] {tiki_extract_dag.py:151} INFO - Skipped product 179953046 due to duplicate
[2025-03-10T01:39:18.228+0000] {tiki_extract_dag.py:151} INFO - Skipped product 177424215 due to duplicate
[2025-03-10T01:39:18.228+0000] {tiki_extract_dag.py:151} INFO - Skipped product 174481487 due to duplicate
[2025-03-10T01:39:18.229+0000] {tiki_extract_dag.py:151} INFO - Skipped product 155398602 due to duplicate
[2025-03-10T01:39:18.229+0000] {tiki_extract_dag.py:151} INFO - Skipped product 121367420 due to duplicate
[2025-03-10T01:39:18.230+0000] {tiki_extract_dag.py:151} INFO - Skipped product 108535212 due to duplicate
[2025-03-10T01:39:18.230+0000] {tiki_extract_dag.py:151} INFO - Skipped product 104791199 due to duplicate
[2025-03-10T01:39:18.231+0000] {tiki_extract_dag.py:151} INFO - Skipped product 95735629 due to duplicate
[2025-03-10T01:39:18.231+0000] {tiki_extract_dag.py:151} INFO - Skipped product 93514280 due to duplicate
[2025-03-10T01:39:18.232+0000] {tiki_extract_dag.py:151} INFO - Skipped product 81517203 due to duplicate
